-21.0,3.0:-20.999999999999986,6.0,120.0
4.0,19.0:-68.99999999999999,42.0,48.0
-23.0,7.0:-20.999999999999986,-30.0,24.0
6.0,15.0:-80.99999999999999,-90.0,36.0
-24.0,11.0:-80.99999999999999,-90.0,48.0
6.0,10.0:-68.99999999999999,-42.0,12.0
-24.0,16.0:-80.99999999999999,-90.0,72.0
4.0,5.0:-56.999999999999986,-42.0,96.0
-22.0,20.0:-80.99999999999999,-90.0,96.0
2.0,2.0:-80.99999999999999,-90.0,108.0
-18.0,24.0:-80.99999999999999,-90.0,120.0
-2.0,-1.0:-80.99999999999999,-90.0,132.0
-5.0,15.0:-80.99999999999999,-78.0,-0.0
-6.0,-14.0:-80.99999999999999,30.0,36.0
5.0,13.0:-80.99999999999999,-30.0,84.0
-15.0,-8.0:-20.999999999999986,18.0,72.0
12.0,4.0:-80.99999999999999,-78.0,48.0
-18.0,2.0:-80.99999999999999,-78.0,60.0
10.0,-6.0:-80.99999999999999,-78.0,72.0
-13.0,12.0:-80.99999999999999,-78.0,84.0
2.0,-14.0:-80.99999999999999,-78.0,96.0
-3.0,16.0:-80.99999999999999,-78.0,108.0
-9.0,-13.0:-80.99999999999999,-78.0,120.0
7.0,12.0:-80.99999999999999,-78.0,132.0
-5.0,1.0:-80.99999999999999,-66.0,-0.0
23.0,0.0:-80.99999999999999,-66.0,12.0
0.0,17.0:-80.99999999999999,-66.0,24.0
10.0,-10.0:-68.99999999999999,42.0,120.0
16.0,18.0:-80.99999999999999,-66.0,48.0
-4.0,-2.0:-80.99999999999999,-66.0,60.0
24.0,4.0:-80.99999999999999,-66.0,72.0
-3.0,14.0:-80.99999999999999,-66.0,84.0
14.0,-9.0:-80.99999999999999,-66.0,96.0
12.0,19.0:-80.99999999999999,-66.0,108.0
-2.0,-6.0:-80.99999999999999,-66.0,120.0
24.0,8.0:-80.99999999999999,-66.0,132.0
-6.0,26.0:-80.99999999999999,-54.0,96.0
10.0,3.0:-68.99999999999999,-6.0,72.0
15.0,30.0:-80.99999999999999,-54.0,24.0
-8.0,15.0:-80.99999999999999,-54.0,36.0
19.0,9.0:-80.99999999999999,-54.0,48.0
4.0,32.0:-80.99999999999999,-54.0,60.0
-2.0,5.0:-80.99999999999999,6.0,-0.0
21.0,20.0:-80.99999999999999,-54.0,84.0
4.0,6.0:-80.99999999999999,-42.0,-0.0
-3.0,32.0:-80.99999999999999,-42.0,12.0
-20.0,12.0:-80.99999999999999,-42.0,24.0
6.0,8.0:-68.99999999999999,6.0,60.0
-5.0,32.0:-80.99999999999999,-42.0,48.0
-19.0,10.0:-80.99999999999999,-42.0,60.0
7.0,10.0:-80.99999999999999,-42.0,72.0
-7.0,32.0:-80.99999999999999,-42.0,84.0
-18.0,8.0:-80.99999999999999,-42.0,96.0
8.0,12.0:-44.999999999999986,-18.0,24.0
-10.0,32.0:-80.99999999999999,-42.0,120.0
-16.0,6.0:-80.99999999999999,-42.0,132.0
6.0,-1.0:-80.99999999999999,-30.0,-0.0
-8.0,19.0:-80.99999999999999,-30.0,12.0
-22.0,-1.0:-56.999999999999986,54.0,60.0
2.0,-7.0:-80.99999999999999,-30.0,36.0
-1.0,18.0:-80.99999999999999,-30.0,48.0
-23.0,6.0:-80.99999999999999,-30.0,60.0
-4.0,-10.0:-80.99999999999999,-30.0,72.0
-20.0,13.0:-80.99999999999999,-30.0,96.0
-11.0,-10.0:-80.99999999999999,-30.0,108.0
7.0,7.0:-80.99999999999999,-30.0,120.0
-15.0,17.0:-80.99999999999999,-30.0,132.0
-7.0,-9.0:-80.99999999999999,-18.0,-0.0
16.0,-9.0:-80.99999999999999,-18.0,12.0
13.0,13.0:-80.99999999999999,-18.0,24.0
-9.0,7.0:-80.99999999999999,-18.0,36.0
0.0,-14.0:-80.99999999999999,-18.0,48.0
19.0,-1.0:-80.99999999999999,-18.0,60.0
4.0,16.0:-80.99999999999999,-18.0,72.0
-10.0,-2.0:-80.99999999999999,-18.0,84.0
10.0,-13.0:-80.99999999999999,-18.0,96.0
18.0,8.0:-80.99999999999999,-18.0,108.0
-5.0,13.0:-80.99999999999999,-18.0,120.0
-6.0,-10.0:-80.99999999999999,-18.0,132.0
20.0,2.0:-80.99999999999999,-6.0,-0.0
21.0,22.0:-80.99999999999999,-6.0,12.0
1.0,24.0:-80.99999999999999,-6.0,24.0
-2.0,4.0:-80.99999999999999,-6.0,36.0
18.0,0.0:-80.99999999999999,-6.0,48.0
23.0,20.0:-68.99999999999999,54.0,48.0
3.0,26.0:-80.99999999999999,-6.0,72.0
-4.0,6.0:-44.999999999999986,6.0,-0.0
15.0,-2.0:-80.99999999999999,-6.0,96.0
24.0,17.0:-80.99999999999999,-6.0,108.0
6.0,27.0:-80.99999999999999,-6.0,120.0
-5.0,9.0:-68.99999999999999,42.0,72.0
14.0,15.0:-80.99999999999999,6.0,12.0
8.0,32.0:-80.99999999999999,6.0,24.0
-10.0,31.0:-80.99999999999999,66.0,60.0
-14.0,13.0:-80.99999999999999,6.0,48.0
2.0,5.0:-80.99999999999999,6.0,60.0
14.0,19.0:-80.99999999999999,6.0,72.0
4.0,34.0:-80.99999999999999,6.0,84.0
-13.0,28.0:-80.99999999999999,6.0,96.0
-12.0,10.0:-80.99999999999999,6.0,108.0
6.0,6.0:-80.99999999999999,6.0,120.0
14.0,22.0:-80.99999999999999,6.0,132.0
-5.0,25.0:-80.99999999999999,18.0,-0.0
-20.0,20.0:-80.99999999999999,18.0,12.0
-23.0,5.0:-80.99999999999999,18.0,24.0
-11.0,-5.0:-80.99999999999999,18.0,36.0
3.0,2.0:-80.99999999999999,18.0,48.0
4.0,18.0:-80.99999999999999,18.0,60.0
-10.0,25.0:-80.99999999999999,18.0,72.0
-23.0,17.0:-80.99999999999999,18.0,84.0
-21.0,1.0:-80.99999999999999,18.0,96.0
-6.0,-4.0:-80.99999999999999,18.0,108.0
5.0,6.0:-80.99999999999999,18.0,120.0
1.0,21.0:-44.999999999999986,54.0,36.0
-4.0,15.0:-80.99999999999999,30.0,-0.0
-14.0,8.0:-80.99999999999999,30.0,12.0
-16.0,-5.0:-80.99999999999999,30.0,24.0
6.0,-13.0:-80.99999999999999,30.0,48.0
13.0,-2.0:-80.99999999999999,30.0,60.0
9.0,11.0:-80.99999999999999,30.0,72.0
-3.0,15.0:-80.99999999999999,30.0,84.0
-16.0,-4.0:-80.99999999999999,30.0,108.0
-7.0,-14.0:-80.99999999999999,30.0,120.0
24.0,1.0:-80.99999999999999,42.0,-0.0
24.0,11.0:-80.99999999999999,42.0,12.0
18.0,19.0:-80.99999999999999,42.0,24.0
8.0,21.0:-80.99999999999999,42.0,36.0
-1.0,17.0:-80.99999999999999,42.0,48.0
-5.0,8.0:-80.99999999999999,42.0,60.0
-3.0,-2.0:-80.99999999999999,42.0,72.0
5.0,-8.0:-80.99999999999999,42.0,84.0
15.0,-8.0:-80.99999999999999,42.0,96.0
23.0,-1.0:-80.99999999999999,42.0,108.0
25.0,8.0:-80.99999999999999,42.0,120.0
20.0,17.0:-80.99999999999999,42.0,132.0
10.0,33.0:-80.99999999999999,54.0,-0.0
3.0,33.0:-80.99999999999999,54.0,12.0
-4.0,30.0:-80.99999999999999,54.0,24.0
-8.0,25.0:-80.99999999999999,54.0,36.0
-10.0,18.0:-80.99999999999999,54.0,48.0
-8.0,11.0:-80.99999999999999,54.0,60.0
-3.0,6.0:-80.99999999999999,54.0,72.0
4.0,3.0:-80.99999999999999,54.0,84.0
11.0,4.0:-80.99999999999999,54.0,96.0
16.0,8.0:-80.99999999999999,54.0,108.0
